BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,CẬP NHẬT,2022-10-14 00:00:00,,
,,,,GHI CHÚ ĐẶC BIỆT,,,HÀNG ĐÃ NHẬP/XUẤT HẾT BILL,HÀNG NHẬP/XUẤT CHƯA XONG BILL,,,,,,
STT,"NGÀY
/ THÁNG","SỐ TỜ KHAI
( SỐ BILL)",TÊN KH,TÊN HÀNG,ĐVT,SỐ LƯỢNG YÊU CẦU NHẬP,"TỒN 
KỲ ĐẦU","NHẬP
 TRONG KỲ",,"XUẤT 
TRONG KỲ",,"TỒN 
CUỐI",GHI CHÚ,"TỒN 
CUỐI KỲ"
,,,,,,(GROSS),(GROSS),NỘI BỘ,VÀO KHO,NỘI BỘ,RA KHO,(GROSS),,(GROSS)
1,05.11.21,104330460511(MEDUCN021497),BBN,HẠT ĐIỀU BAO,KG,,217280,,,,,217280,8 CONT,217280
2,05.11.21,104329649761(212992510),VP,HẠT ĐIỀU BAO,KG,,457820,,,,,457820,18 CONT ,457820
3,07.11.21,104336118831(AEV0170333B),BIVC,HẠT ĐIỀU BAO,KG,,315350,,,,,315350,12 CONT,315350
5,13.11.21,104344320401(GOSUABI21003585),BIVC,HẠT ĐIỀU BAO,KG,,529940,,,,,529940,20 CONT ,529940
6,16.11.21,104354269461(AFIC/SIN/204800),BBN,HẠT ĐIỀU BAO,KG,,535540,,,,,535540,21 CONT,535540
7,19.11.21,104362187051(AEV0190974),BIVC,HẠT ĐIỀU BAO,KG,,46820,,,,,46820,2 CONT ,46820
8,23.11.21,104365311261(ONEYABJB00160301),BBN,HẠT ĐIỀU BAO,KG,,26980,,,,,26980,1 CONT ,26980
9,30.11.21,104380046041(AEV0171257),VP,HẠT ĐIỀU BAO,KG,,51370,,,,,51370,2 CONT ,51370
10,30.11.21,104379811061(AEV0170999D),VP,HẠT ĐIỀU BAO,KG,,557520,,,,,557520,22 CONT ,557520
11,01.12.21,104379927041(AEV1071070),VP,HẠT ĐIỀU BAO,KG,,76640,,,,,76640,3 CONT ,76640
12,01.12.21,104379974641(AEV0171132),VP,HẠT ĐIỀU BAO,KG,,102110,,,,,102110,4 CONT ,102110
