,BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,,,,,,,CẬP NHẬT,,2022-10-14 00:00:00,
1,,,,,GHI CHÚ ĐẶC BIỆT,,,HÀNG ĐÃ NHẬP HẾT BILL,HÀNG NHẬP CHƯA XONG BILL,,,,,,,
2,STT,"NGÀY
/ THÁNG","SỐ TỜ KHAI
( SỐ BILL)",TÊN KH,TÊN HÀNG,ĐVT,SỐ LƯỢNG YÊU CẦU NHẬP,"TỒN 
KỲ ĐẦU","NHẬP
 TRONG KỲ",,"XUẤT 
TRONG KỲ",,"TỒN 
CUỐI ",,GHI CHÚ,"TỒN 
CUỐI KỲ"
3,,,,,,,(GROSS),(GROSS),NỘI BỘ,VÀO KHO,NỘI BỘ,RA KHO,(GROSS),(NET),,(GROSS)
4,1,15.7.21,104146163221 (210965150),OB,HẠT ĐIỀU BAO,KG,,525340,,,,,525340,,20 CONT,525340
5,2,22.07.21,104154705761(210379659),CV,HẠT ĐIỀU BAO,KG,,219720,,,,,219720,,8CONT,219720
6,3,26.07.21,104164895551 (210844761),OB,HẠT ĐIỀU BAO,KG,,26120,,,,,26120,,1 CONT,26120
7,4,29.07.21,104168711141 (TMA0124899),OB,HẠT ĐIỀU BAO,KG,,122940,,,,,122940,,5 CONT,122940
8,5,29.07.21,104171899861(CTO0123429),TZ,HẠT ĐIỀU BAO,KG,,198640,,,,,198640,,12 CONT,198640
9,6,30.07.21,104175077161(AEV01660498)AEV0166049S,OB,HẠT ĐIỀU BAO,KG,,23580,,,,,23580,,1 CONT,23580
10,8,2.08.21,104178981541(MEDUTM141700),OB,HẠT ĐIỀU BAO,KG,,184820,,,,,184820,,,184820
11,9,03.08.21,104175209021(MEDUTM139464),0B,HẠT ĐIỀU BAO,KG,,276630,,,,,276630,,11 CONT,276630
12,10,07.08.21,104188351411 (ONEYTEMB00568904),OB,HẠT ĐIỀU BAO,KG,,160300,,,,,160300,,6 CONT,160300
13,11,07.08.21,104167626361(210790214),CV,HẠT ĐIỀU BAO,KG,,271180,,,,,271180,,10 CONT,271180
14,12,03.10.21,104269536561(BCU0106853),CV,HẠT ĐIỀU BAO,KG,,103440,,,,86710,16730,,4 CONT,16730
15,13,06.10.21,104280477601(COSU6304508320),CV,HẠT ĐIỀU BAO,KG,,222760,,,,,222760,,9 CONT,222760
16,14,07.10.21,104279772001(209571616),BBN,HẠT ĐIỀU BAO,KG,,537400,,,,,537400,,11 CONT,537400
17,15,12.10.21,104283671811(AEV0170088),CV,HẠT ĐIỀU BAO,KG,,25380,,,,,25380,,1 CONT,25380
18,16,13.10.21,104290705041(AFIC/SIN/204626),BBN,HẠT ĐIỀU BAO,KG,,26690,,,,,26690,,1 CONT,26690
19,17,19.10.21,104301481212(ONEYABJB00318803),BBN,HẠT ĐIỀU BAO,KG,,34650,,,,,34650,,2 CONT,34650
20,18,19.10.21,104301770531(ONEYABJB00318802),BBN,HẠT ĐIỀU BAO,KG,,16710,,,,,16710,,1 CONT,16710
21,19,11.01.21,104466960141(GREENTECB8),OB,HẠT ĐIỀU BAO,KG,657290,658380,,,,,658380,,TÀU GREENTEC,658380
22,20,15.01.22,104466944411(GREENTECB6),OB,HẠT ĐIỀU BAO,KG,516390,515570,,,,,515570,,TÀU GREENTEC,515570
23,21,16.01.22,104469505711(GREENTECA4),VP,HẠT ĐIỀU BAO,KG,352050,352110,,,,,352110,,TÀU GREENTEC,352110
24,22,12.02.22,104518331301 (COSU6319470470),OB,HẠT ĐIỀU BAO,KG,85920,82580,,,,82090,490,,3 CONT,490
25,23,15.02.22,104518092711 (OOLU4052419860),OB,HẠT ĐIỀU BAO,KG,269860,271280,,,,264430,6850,,10 CONT,6850
26,24,18.03.22,104587991432(OOLU2684258920),OB,HẠT ĐIỀU BAO,KG,334244,329300,,,,,329300,,12 CONT,329300
27,25,26.04.22,104663587931(DSLSIN1842022),OB,HẠT ĐIỀU BAO,KG,539370,541410,,,,,541410,,20 CONT,541410
28,26,12.05.22,104700132941(LGS0164104),CV,HẠT ĐIỀU BAO,KG,114870,116100,,,,,116100,,4 CONT,116100
29,27,02.06.22,104749981821(ONEYLOSC00965600),VP,HẠT ĐIỀU BAO,KG,225599,224640,,,,,224640,,8 CONT,224640
30,28,02.06.22,104748732762(MEDUTM187661),OB,HẠT ĐIỀU BAO,KG,506050,505860,,,,462870,42990,,18 CONT,42990
31,29,04.06.22,104748965751(MEDUTM87711),OB,HẠT ĐIỀU BAO,KG,505260,503790,,,,355110,148680,,18 CONT,148680
32,30,04.11.21,104332085101(MEDUCN022578),BBN,HẠT ĐIỀU BAO,KG,,132520,,,,,132520,5 CONT,Kho 3.2 chuyển,132520
33,31,07.05.22,104693053621(OOLU4052951109),OB,HẠT ĐIỀU BAO,KG,303730,303980,,,,,303980,11 CONT,Kho 3.2 chuyển,303980
34,32,05.11.21,104331367231(AEV0170084H),VP,HẠT ĐIỀU BAO,KG,,102260,,,,,102260,Chuyển kho 1.2,Kho 3.2 chuyển,102260
35,33,31.10.21,104321778741(212000125),BBN,HẠT ĐIỀU BAO,KG,,27170,,,,,27170,1 CONT ,Kho 3.2 chuyển,27170
36,34,28.10.21,104314993531(212841972),BBN,HẠT ĐIỀU BAO,KG,,24060,,,,,24060,1 CONT,Kho 3.2 chuyển,24060
37,35,26.10.21,104308248001(AFIC/SIN/204718),BBN,HẠT ĐIỀU BAO,KG,,389440,,,,308530,80910,ĐẢO KHO 1.2,Kho 3.2 chuyển,80910
38,36,13.10.21,104290953801(HLCUAB1210800010),CV,HẠT ĐIỀU BAO,KG,,507760,,,,,507760,20 CONT,Kho 3.2 chuyển,507760
39,37,16.10.21,104295622101(AEV0170333A),BIVC,HẠT ĐIỀU BAO,KG,,106330,,,,,106330,4 CONT,Kho 3.2 chuyển,106330
40,38,18.10.21,104299479211(211770715),OB,HẠT ĐIỀU BAO,KG,,25700,,,,,25700,1 CONT 3.2-1.2,Kho 3.2 chuyển,25700
