,BẢNG CHI TIẾT NHẬP- XUẤT - TỒN HÀNG HOÁ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,,,,,,,,,,,CẬP NHẬT,2022-10-14 00:00:00,,
1,,,,,GHI CHÚ ĐẶC BIỆT,,,HÀNG ĐÃ NHẬP/XUẤT HẾT BILL,HÀNG NHẬP/XUẤT CHƯA XONG BILL,,,,,,
2,STT,"NGÀY
/ THÁNG","SỐ TỜ KHAI
( SỐ BILL)",TÊN KH,TÊN HÀNG,ĐVT,SỐ LƯỢNG YÊU CẦU NHẬP,"TỒN 
KỲ ĐẦU","NHẬP
 TRONG KỲ",,"XUẤT 
TRONG KỲ",,"TỒN 
CUỐI",GHI CHÚ,"TỒN 
CUỐI KỲ"
3,,,,,,,(GROSS),(GROSS),NỘI BỘ,VÀO KHO,NỘI BỘ,RA KHO,(GROSS),,(GROSS)
4,1,13.08.21,104188523461(210844010),VP,HẠT ĐIỀU BAO,KG,,25280,,,,,25280,1 CONT,25280
5,2,14.08.21,104197211311(MEDUCT040358),BBN,HẠT ĐIỀU BAO,KG,,106950,,,,,106950,6 CONT,106950
6,3,18.08.21,104205075111(AFIC/SIN/204481),BBN,HẠT ĐIỀU BAO,KG,,507690,,,,,507690,20 CONT,507690
7,4,28.09.21,104262622331(AEV0169005A),CV,HẠT ĐIỀU BAO,KG,,78380,,,,,78380,3 CONT,78380
8,5,29.09.21,104259623901(HLCUDK1210701026),BBN,HẠT ĐIỀU BAO,KG,,84700,,,,82620,2080,6 CONT,84700
9,6,02.10.21,104265786551(211382496),BBN,HẠT ĐIỀU BAO,KG,,538820,,,,,538820,20 CONT,538820
10,7,02.10.21,104264138531(AEV0166095L),CV,HẠT ĐIỀU BAO,KG,,78170,,,,,78170,3 CONT,78170
11,8,02.10.21,104271939221(AEV0169004B),OB,HẠT ĐIỀU BAO,KG,,306060,,,,,306060,13 CONT,306060
12,9,03.09.21,104272283511(AEV0168119C),VP,HẠT ĐIỀU BAO,KG,,124520,,,,,124520,5 CONT,124520
13,10,04.10.21,104269392951(BCU0106811),CV,HẠT ĐIỀU BAO,KG,,212420,,,,197330,15090,8 CONT,212420
14,11,04.10.21,104277517521(AEV0169004A),OB,HẠT ĐIỀU BAO,KG,,167860,,,,,167860,7 CONT,167860
15,12,05.10.21,104272500031(20989092L),CV,HẠT ĐIỀU BAO,KG,,383320,,,,358070,25250,15 CONT,383320
16,13,06.10.21,104274230541(211520711),OB,HẠT ĐIỀU BAO,KG,,313360,,,,47650,265710,13 CONT,313360
17,14,07.10.21,104280482351(COSU63045008328),CV,HẠT ĐIỀU BAO,KG,,145920,,,,,145920,6 CONT,145920
18,15,07.10.21,104273962701(21152823A),CV,HẠT ĐIỀU BAO,KG,,96390,,,,,96390,4 CONT,96390
19,16,07.10.21,104280473511(COSU6304508329),CV,HẠT ĐIỀU BAO,KG,,124470,,,,,124470,5 CONT,124470
20,17,08.10.21,104282461401(AFIC/SIN/204669),BBN,HẠT ĐIỀU BAO,KG,,577330,,,,,577330,22 CONT,577330
21,18,08.10.21,107282457421(AFIC/SIN/204671),BBN,HẠT ĐIỀU BAO,KG,,208330,,,,,208330,8 CONT,208330
22,19,10.10.21,104282030901(AFIC/SIN/204519),BBN,HẠT ĐIỀU BAO,KG,,217070,,,,,217070,8 CONT,217070
23,20,10.10.21,104282466041(AFIC/SIN/204672),BBN,HẠT ĐIỀU BAO,KG,,105510,,,,,105510,4 CONT,105510
24,21,11.10.21,104284055851(AEV0166095M),CV,HẠT ĐIỀU BAO,KG,,101640,,,,,101640,4 CONT,101640
25,22,11.10.21,104286108141(AEV0168119D),OB,HẠT ĐIỀU BAO,KG,,200780,,,,,200780,8 CONT,200780
26,23,11.10.21,104285631661(AEV0170079I),BIVC,HẠT ĐIỀU BAO,KG,,152820,,,,,152820,6 CONT,152820
27,24,12.10.21,104286181901(AEV0168743),CV,HẠT ĐIỀU BAO,KG,,24950,,,,,24950,1 CONT,24950
28,25,12.10.21,104290131041(AEV0168394F),CV,HẠT ĐIỀU BAO,KG,,134800,,,,,134800,5 CONT,134800
29,26,19.10.21,104302232051(ONEYABJB00323400),OB,HẠT ĐIỀU BAO,KG,,762590,,,,,762590,30 CONT,762590
30,27,21.10.21,104306269211(AEV0170079A),CV,HẠT ĐIỀU BAO,KG,,186190,,,,,186190,07 CONT,186190
31,28,02.11.21,104325306261(212289472),CV,HẠT ĐIỀU BAO,KG,,554860,,,,,554860,22 CONT ,554860
32,29,22.12.21,104429625201(AEV0171496F),CV,HẠT ĐIỀU BAO,KG,227020,228440,,,,,228440,9 CONT,228440
33,30,24.12.21,104430721731(AEV0171495B),CV,HẠT ĐIỀU BAO,KG,249110,251170,,,,,251170,10 CONT,251170
34,31,14.01.22,104466987001(GREENTECD5),OB,HẠT ĐIỀU BAO,KG,647500,647180,,,,,647180,TÀU GREENTEC,647180
35,32,03.11.21,104329515141(MEDUAB183914),BBN,HẠT ĐIỀU BAO,KG,,504730,,,,,504730,Kho 3.2 chuyển,504730
36,33,04.12.21,104391588341(MEDUPD123006),CV,HẠT ĐIỀU BAO,KG,,308940,,,,,308940,12C -Đảo kho 2.2,308940
